family,case,metric,method,reported_mean,reported_std,winner_probability,rank_entropy
Heat,2d-LT,L2RE,FBPINN,1.01,0.000123,0.0,0.6513361468996575
Heat,2d-MS,L2RE,NTK,0.044,0.00481,0.86268,0.21864393178661085
Heat,2d-MS,L2RE,PINN,0.0621,0.0138,0.08785,0.21864393178661085
Heat,2d-MS,L2RE,LAAF,0.074,0.0192,0.03418,0.21864393178661085
Heat,2d-MS,L2RE,LRA,0.0879,0.0256,0.01434,0.21864393178661085
Heat,2d-MS,L2RE,RAR,0.0749,0.0105,0.00085,0.21864393178661085
Heat,2d-MS,L2RE,MultiAdam,0.218,0.0926,0.0001,0.21864393178661085
Heat,2d-MS,L2RE,PINN-w,0.242,0.0267,0.0,0.21864393178661085
Heat,2d-MS,L2RE,gPINN,0.113,0.00308,0.0,0.21864393178661085
Heat,2d-MS,L2RE,vPINN,0.93,0.0206,0.0,0.21864393178661085
Heat,2d-MS,L2RE,GAAF,0.985,0.104,0.0,0.21864393178661085
Heat,2d-MS,L2RE,FBPINN,0.082,0.00487,0.0,0.21864393178661085
Heat,2d-VC,L2RE,LRA,0.212,0.000861,0.57419,0.36536693126058484
Heat,2d-VC,L2RE,NTK,0.214,0.00582,0.35349,0.36536693126058484
Heat,2d-VC,L2RE,PINN-w,0.235,0.017,0.07232,0.36536693126058484
Heat,2d-VC,L2RE,PINN,1.01,0.0634,0.0,0.36536693126058484
Heat,2d-VC,L2RE,RAR,0.966,0.0186,0.0,0.36536693126058484
Heat,2d-VC,L2RE,MultiAdam,0.475,0.0844,0.0,0.36536693126058484
Heat,2d-VC,L2RE,gPINN,2.12,0.551,0.0,0.36536693126058484
Heat,2d-VC,L2RE,vPINN,0.94,0.173,0.0,0.36536693126058484
Heat,2d-VC,L2RE,LAAF,0.642,0.0632,0.0,0.36536693126058484
Heat,2d-VC,L2RE,GAAF,0.849,0.106,0.0,0.36536693126058484
Heat,2d-VC,L2RE,FBPINN,0.952,0.00229,0.0,0.36536693126058484
High dim,HNd,L2RE,MultiAdam,0.302,0.0407,0.66335,0.29072512803088174
High dim,HNd,L2RE,gPINN,0.317,0.00666,0.33665,0.29072512803088174
High dim,HNd,L2RE,PINN,0.361,0.0044,0.0,0.29072512803088174
High dim,HNd,L2RE,PINN-w,0.459,0.00434,0.0,0.29072512803088174
High dim,HNd,L2RE,LRA,0.394,0.0128,0.0,0.29072512803088174
High dim,HNd,L2RE,NTK,0.397,0.0126,0.0,0.29072512803088174
High dim,HNd,L2RE,RAR,0.357,0.00369,0.0,0.29072512803088174
High dim,HNd,L2RE,LAAF,0.522,0.00312,0.0,0.29072512803088174
High dim,HNd,L2RE,GAAF,0.521,0.000779,0.0,0.29072512803088174
High dim,PNd,L2RE,LRA,0.000458,1.89e-05,0.99387,0.017667415339828033
High dim,PNd,L2RE,NTK,0.00464,0.00436,0.00573,0.017667415339828033
High dim,PNd,L2RE,PINN-w,0.00258,0.00131,0.0004,0.017667415339828033
High dim,PNd,L2RE,PINN,0.00304,0.000562,0.0,0.017667415339828033
High dim,PNd,L2RE,RAR,0.00359,0.00125,0.0,0.017667415339828033
High dim,PNd,L2RE,MultiAdam,0.00398,0.00111,0.0,0.017667415339828033
High dim,PNd,L2RE,gPINN,0.00505,0.000607,0.0,0.017667415339828033
High dim,PNd,L2RE,LAAF,0.00414,0.000559,0.0,0.017667415339828033
High dim,PNd,L2RE,GAAF,0.00775,0.00141,0.0,0.017667415339828033
Inverse,HInv,L2RE,LRA,0.0509,0.00434,0.62453,0.2898535222065013
Inverse,HInv,L2RE,PINN-w,0.0526,0.00331,0.36971,0.2898535222065013
Inverse,HInv,L2RE,LAAF,0.559,0.524,0.0041,0.2898535222065013
Inverse,HInv,L2RE,MultiAdam,0.0804,0.012,0.00166,0.2898535222065013
Inverse,HInv,L2RE,PINN,1.57,0.0721,0.0,0.2898535222065013
Inverse,HInv,L2RE,NTK,0.0752,0.00542,0.0,0.2898535222065013
Inverse,HInv,L2RE,RAR,1.52,0.0646,0.0,0.2898535222065013
Inverse,HInv,L2RE,gPINN,4.84,2.07,0.0,0.2898535222065013
Inverse,HInv,L2RE,vPINN,0.456,0.013,0.0,0.2898535222065013
Inverse,HInv,L2RE,GAAF,0.212,0.0489,0.0,0.2898535222065013
Inverse,HInv,L2RE,FBPINN,0.927,0.12,0.0,0.2898535222065013
Inverse,PInv,L2RE,vPINN,0.0245,0.0103,0.99843,0.005473822920066075
Inverse,PInv,L2RE,gPINN,0.0803,0.00279,0.00089,0.005473822920066075
Inverse,PInv,L2RE,GAAF,0.254,0.153,0.00054,0.005473822920066075
Inverse,PInv,L2RE,RAR,0.0935,0.0112,0.00014,0.005473822920066075
Inverse,PInv,L2RE,PINN,0.0942,0.00158,0.0,0.005473822920066075
Inverse,PInv,L2RE,PINN-w,0.166,0.00545,0.0,0.005473822920066075
Inverse,PInv,L2RE,LRA,0.154,0.00332,0.0,0.005473822920066075
Inverse,PInv,L2RE,NTK,0.193,0.0139,0.0,0.005473822920066075
Inverse,PInv,L2RE,MultiAdam,0.13,0.0155,0.0,0.005473822920066075
Inverse,PInv,L2RE,LAAF,0.13,0.0107,0.0,0.005473822920066075
Inverse,PInv,L2RE,FBPINN,0.844,0.137,0.0,0.005473822920066075
NS,2d-C,L2RE,LAAF,0.036,0.00387,0.62986,0.2897785334754546
NS,2d-C,L2RE,GAAF,0.0379,0.00432,0.36902,0.2897785334754546
NS,2d-C,L2RE,FBPINN,0.0845,0.0226,0.00087,0.2897785334754546
NS,2d-C,L2RE,PINN,0.047,0.00112,0.00025,0.2897785334754546
