representation,model,relative_l2,relative_l2_std,steepest_gradient_location_error_radians,steepest_gradient_location_error_std,winner_relative_l2,winner_steepest_gradient_location_error_radians
grid,knn,0.13954433266016195,0.009665921833119174,0.14889840181076622,0.018462230430003435,True,True
grid,ridge,0.15838808404469587,0.0039916515485398495,0.2000310947402876,0.014878822909733828,False,False
pod,knn,0.15589233693732155,0.009820137197114743,0.2253929104333302,0.01745595547788128,True,False
pod,ridge,0.16041289275166573,0.0036983158321942824,0.19430423313218123,0.010437083234949655,False,True
