family,case,method,appendix_table,main_table,absolute_gap,relative_gap,consistent
High dim,HNd,RAR,0.357,0.357,0.0,0.0,True
High dim,HNd,gPINN,0.317,0.317,0.0,0.0,True
High dim,PNd,GAAF,0.00775,0.00775,0.0,0.0,True
High dim,PNd,LAAF,0.00414,0.00414,0.0,0.0,True
High dim,PNd,LRA,0.000458,0.000458,0.0,0.0,True
High dim,PNd,MultiAdam,0.00398,0.00398,0.0,0.0,True
High dim,PNd,NTK,0.00464,0.00464,0.0,0.0,True
High dim,PNd,PINN,0.00304,0.00304,0.0,0.0,True
High dim,PNd,PINN-w,0.00258,0.00258,0.0,0.0,True
High dim,PNd,RAR,0.00359,0.00359,0.0,0.0,True
High dim,PNd,gPINN,0.00505,0.00505,0.0,0.0,True
Inverse,HInv,FBPINN,0.927,0.927,0.0,0.0,True
Inverse,HInv,GAAF,0.212,0.212,0.0,0.0,True
Inverse,HInv,LAAF,0.559,0.559,0.0,0.0,True
Inverse,HInv,LRA,0.0509,0.0509,0.0,0.0,True
Inverse,HInv,MultiAdam,0.0804,0.0804,0.0,0.0,True
Inverse,HInv,NTK,0.0752,0.0752,0.0,0.0,True
Inverse,HInv,PINN,1.57,1.57,0.0,0.0,True
Inverse,HInv,PINN-w,0.0526,0.0526,0.0,0.0,True
Inverse,HInv,RAR,1.52,1.52,0.0,0.0,True
Inverse,HInv,gPINN,4.84,4.84,0.0,0.0,True
Inverse,PInv,FBPINN,0.844,0.844,0.0,0.0,True
Inverse,PInv,GAAF,0.254,0.254,0.0,0.0,True
Inverse,PInv,LAAF,0.13,0.13,0.0,0.0,True
Inverse,PInv,LRA,0.154,0.154,0.0,0.0,True
Inverse,PInv,MultiAdam,0.13,0.13,0.0,0.0,True
Inverse,PInv,NTK,0.193,0.193,0.0,0.0,True
Inverse,PInv,PINN,0.0942,0.0942,0.0,0.0,True
Inverse,PInv,PINN-w,0.166,0.166,0.0,0.0,True
Inverse,PInv,RAR,0.0935,0.0935,0.0,0.0,True
Inverse,PInv,gPINN,0.0803,0.0803,0.0,0.0,True
NS,2d-C,FBPINN,0.0845,0.0845,0.0,0.0,True
NS,2d-C,GAAF,0.0379,0.0379,0.0,0.0,True
NS,2d-C,LAAF,0.036,0.036,0.0,0.0,True
NS,2d-C,MultiAdam,0.727,0.727,0.0,0.0,True
NS,2d-C,NTK,0.198,0.198,0.0,0.0,True
NS,2d-C,PINN,0.047,0.047,0.0,0.0,True
NS,2d-C,PINN-w,0.145,0.145,0.0,0.0,True
NS,2d-C,RAR,0.469,0.469,0.0,0.0,True
NS,2d-C,gPINN,0.077,0.077,0.0,0.0,True
NS,2d-C,vPINN,0.292,0.292,0.0,0.0,True
NS,2d-CG,FBPINN,8.27,8.27,0.0,0.0,True
NS,2d-CG,GAAF,0.174,0.174,0.0,0.0,True
NS,2d-CG,LAAF,0.0824,0.0824,0.0,0.0,True
NS,2d-CG,LRA,0.332,0.332,0.0,0.0,True
NS,2d-CG,MultiAdam,0.431,0.431,0.0,0.0,True
NS,2d-CG,NTK,0.293,0.293,0.0,0.0,True
NS,2d-CG,PINN,0.119,0.119,0.0,0.0,True
NS,2d-CG,PINN-w,0.326,0.326,0.0,0.0,True
NS,2d-CG,RAR,0.334,0.334,0.0,0.0,True
NS,2d-CG,gPINN,0.154,0.154,0.0,0.0,True
NS,2d-CG,vPINN,0.994,0.994,0.0,0.0,True
NS,2d-LT,FBPINN,1.0,1.0,0.0,0.0,True
NS,2d-LT,GAAF,0.999,0.999,0.0,0.0,True
NS,2d-LT,LAAF,0.998,0.998,0.0,0.0,True
NS,2d-LT,LRA,1.0,1.0,0.0,0.0,True
NS,2d-LT,MultiAdam,1.0,1.0,0.0,0.0,True
NS,2d-LT,NTK,0.999,0.999,0.0,0.0,True
NS,2d-LT,PINN,0.996,0.996,0.0,0.0,True
NS,2d-LT,PINN-w,1.0,1.0,0.0,0.0,True
NS,2d-LT,RAR,1.0,1.0,0.0,0.0,True
NS,2d-LT,gPINN,0.995,0.995,0.0,0.0,True
NS,2d-LT,vPINN,1.73,1.73,0.0,0.0,True
Poisson,2d-C,FBPINN,0.0449,0.0449,0.0,0.0,True
Poisson,2d-C,GAAF,0.604,0.604,0.0,0.0,True
Poisson,2d-C,LAAF,0.768,0.768,0.0,0.0,True
Poisson,2d-C,LRA,0.117,0.117,0.0,0.0,True
Poisson,2d-C,MultiAdam,0.0263,0.0263,0.0,0.0,True
Poisson,2d-C,NTK,0.0123,0.0123,0.0,0.0,True
Poisson,2d-C,PINN,0.694,0.694,0.0,0.0,True
Poisson,2d-C,PINN-w,0.0349,0.0349,0.0,0.0,True
Poisson,2d-C,RAR,0.699,0.699,0.0,0.0,True
Poisson,2d-C,gPINN,0.687,0.687,0.0,0.0,True
Poisson,2d-C,vPINN,0.491,0.491,0.0,0.0,True
Poisson,2d-CG,FBPINN,0.029,0.029,0.0,0.0,True
Poisson,2d-CG,GAAF,0.871,0.871,0.0,0.0,True
Poisson,2d-CG,LAAF,0.48,0.48,0.0,0.0,True
Poisson,2d-CG,LRA,0.0434,0.0434,0.0,0.0,True
Poisson,2d-CG,MultiAdam,0.276,0.276,0.0,0.0,True
Poisson,2d-CG,NTK,0.0143,0.0143,0.0,0.0,True
Poisson,2d-CG,PINN,0.636,0.636,0.0,0.0,True
Poisson,2d-CG,PINN-w,0.0608,0.0608,0.0,0.0,True
Poisson,2d-CG,RAR,0.648,0.648,0.0,0.0,True
Poisson,2d-CG,gPINN,0.792,0.792,0.0,0.0,True
Poisson,2d-CG,vPINN,0.286,0.286,0.0,0.0,True
Poisson,2d-MS,FBPINN,1.04,1.04,0.0,0.0,True
Poisson,2d-MS,GAAF,0.931,0.931,0.0,0.0,True
Poisson,2d-MS,LAAF,0.593,0.593,0.0,0.0,True
Poisson,2d-MS,LRA,0.794,0.794,0.0,0.0,True
Poisson,2d-MS,MultiAdam,0.59,0.59,0.0,0.0,True
Poisson,2d-MS,NTK,0.748,0.748,0.0,0.0,True
Poisson,2d-MS,PINN,0.63,0.63,0.0,0.0,True
Poisson,2d-MS,PINN-w,0.76,0.76,0.0,0.0,True
Poisson,2d-MS,RAR,0.644,0.644,0.0,0.0,True
Poisson,2d-MS,gPINN,0.616,0.616,0.0,0.0,True
Poisson,2d-MS,vPINN,0.972,0.972,0.0,0.0,True
Poisson,3d-CG,FBPINN,0.739,0.739,0.0,0.0,True
Poisson,3d-CG,GAAF,0.502,0.502,0.0,0.0,True
Poisson,3d-CG,LAAF,0.579,0.579,0.0,0.0,True
Poisson,3d-CG,LRA,0.102,0.102,0.0,0.0,True
Poisson,3d-CG,MultiAdam,0.363,0.363,0.0,0.0,True
Poisson,3d-CG,NTK,0.947,0.947,0.0,0.0,True
